,id,datetime,club_home,club_away,goal_home,goal_away,result,result_away,xG,xGA,xPoints,xPointsAway
0,19648,2022-08-05 19:00:00,Lyon,Ajaccio,2,1,3,0,1.85675,1.13852,1.9983,0.7163999999999999
1,19649,2022-08-06 15:00:00,Strasbourg,Monaco,1,2,0,3,1.39118,2.47965,0.667,2.1258999999999997
2,19650,2022-08-06 19:00:00,Clermont Foot,Paris Saint Germain,0,5,0,3,0.194932,4.11887,0.0166,2.9709999999999996
3,19651,2022-08-07 11:00:00,Toulouse,Nice,1,1,1,1,1.85439,0.69938,2.4185000000000003,0.3935
4,19652,2022-08-07 13:00:00,Lille,Auxerre,4,1,3,0,1.29993,0.769926,1.7819,0.9164000000000001
5,19653,2022-08-07 13:00:00,Montpellier,Troyes,3,2,3,0,1.57764,1.84274,1.1437,1.5777999999999999
6,19654,2022-08-07 13:00:00,Angers,Nantes,0,0,1,1,1.91609,1.14718,1.9488999999999999,0.8206000000000001
7,19655,2022-08-07 13:00:00,Lens,Brest,3,2,3,0,3.31681,1.04228,2.7418,0.1708
8,19656,2022-08-07 15:05:00,Rennes,Lorient,0,1,0,3,1.40484,0.70567,1.9147,0.7972
9,19657,2022-08-07 18:45:00,Marseille,Reims,4,1,3,0,2.77019,0.676094,2.7433,0.1687
10,19658,2022-08-12 19:00:00,Nantes,Lille,1,1,1,1,2.07994,2.53444,1.0858,1.6627
11,19659,2022-08-13 15:00:00,Monaco,Rennes,1,1,1,1,2.39524,2.02488,1.6777000000000002,1.0789000000000002
12,19660,2022-08-13 19:00:00,Paris Saint Germain,Montpellier,5,2,3,0,3.3388,0.778496,2.8379,0.1001
13,19662,2022-08-14 13:00:00,Ajaccio,Lens,0,0,1,1,0.707316,1.02754,1.0529000000000002,1.6091000000000002
14,19663,2022-08-14 13:00:00,Auxerre,Angers,2,2,1,1,0.898665,1.65524,0.7714,1.9632999999999998
15,19664,2022-08-14 13:00:00,Reims,Clermont Foot,2,4,0,3,2.65438,1.56704,2.2419,0.5475
16,19665,2022-08-14 13:00:00,Troyes,Toulouse,0,3,0,3,0.925402,2.07677,0.484,2.3116000000000003
17,19666,2022-08-14 15:05:00,Nice,Strasbourg,1,1,1,1,1.51022,1.57207,1.3248,1.377
18,19667,2022-08-14 18:45:00,Brest,Marseille,1,1,1,1,1.64132,1.30958,1.6300999999999999,1.0811
19,19673,2022-08-19 19:00:00,Lyon,Troyes,4,1,3,0,3.54595,0.948279,2.8733,0.077
20,19668,2022-08-20 15:00:00,Monaco,Lens,1,4,0,3,2.27892,2.45812,1.2461,1.4953999999999998
21,19674,2022-08-20 19:00:00,Marseille,Nantes,2,1,3,0,1.71654,2.35832,0.905,1.8590000000000002
22,19675,2022-08-21 11:00:00,Strasbourg,Reims,1,1,1,1,1.44615,2.03506,0.8806,1.8439
23,19669,2022-08-21 13:00:00,Angers,Brest,1,3,0,3,1.05295,2.2269,0.5357999999999999,2.2602
24,19670,2022-08-21 13:00:00,Clermont Foot,Nice,1,0,3,0,0.712338,1.63135,0.48260000000000003,2.2505
25,19672,2022-08-21 13:00:00,Montpellier,Auxerre,1,2,0,3,0.602982,1.29185,0.6632,2.0669
26,19677,2022-08-21 13:00:00,Toulouse,Lorient,2,2,1,1,2.48022,2.96569,0.974,1.7680999999999998
27,19676,2022-08-21 15:05:00,Rennes,Ajaccio,2,1,3,0,0.979786,1.44269,0.8877,1.8363
28,19671,2022-08-21 18:45:00,Lille,Paris Saint Germain,1,7,0,3,1.50337,4.37042,0.1533,2.7803999999999998
29,19678,2022-08-26 19:00:00,Ajaccio,Lille,1,3,0,3,0.513092,1.80552,0.3527,2.4758
30,19679,2022-08-27 15:00:00,Auxerre,Strasbourg,1,0,3,0,0.770114,1.65529,0.6365999999999999,2.094
31,19684,2022-08-27 19:00:00,Lens,Rennes,2,1,3,0,1.15835,0.88822,1.5842999999999998,1.1067
32,19681,2022-08-28 11:00:00,Nantes,Toulouse,3,1,3,0,1.80364,0.531418,2.3536,0.4468
33,19680,2022-08-28 13:00:00,Lorient,Clermont Foot,2,1,3,0,3.46625,0.432527,2.9293,0.0436
34,19682,2022-08-28 13:00:00,Nice,Marseille,0,3,0,3,0.797222,1.41427,0.8099,1.9211
35,19685,2022-08-28 13:00:00,Brest,Montpellier,0,7,0,3,0.163077,2.2067,0.1141,2.8042000000000002
36,19687,2022-08-28 13:00:00,Troyes,Angers,3,1,3,0,2.23192,1.00107,2.2364,0.5519000000000001
37,19686,2022-08-28 15:05:00,Reims,Lyon,1,1,1,1,0.889087,1.37054,0.9302,1.7653999999999999
38,19683,2022-08-28 18:45:00,Paris Saint Germain,Monaco,1,1,1,1,2.71556,0.237794,2.8889,0.0668
39,19688,2022-08-31 17:00:00,Monaco,Troyes,2,4,0,3,1.69464,2.68434,0.6669,2.1165
